STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00188065,"SAVAGE RIVER DAM, MD US",1950,,,,,,,,,,38.05,,,,
USC00188065,"SAVAGE RIVER DAM, MD US",1951,,,,,,,,,,41.11,,,,
USC00188065,"SAVAGE RIVER DAM, MD US",1952,,,,,,,,,,38.73,,,,
USC00188065,"SAVAGE RIVER DAM, MD US",1953,596,,,8,,,1.34,98,5615,31.67,,51.4,63.9,38.9
USC00188065,"SAVAGE RIVER DAM, MD US",1954,,,,,,,,,5710,,,,,
USC00188065,"SAVAGE RIVER DAM, MD US",1955,594,14,,-7,10,,2.53,95,,37.2,,49.6,60.5,38.7
USC00188065,"SAVAGE RIVER DAM, MD US",1956,402,36,11,0,8,5.5,2.15,90,6569,45.06,31.1,49.2,59.4,38.9
USC00188065,"SAVAGE RIVER DAM, MD US",1957,506,27,,-7,9,,2.23,93,5735,36.9,,49.8,60.8,38.9
USC00188065,"SAVAGE RIVER DAM, MD US",1958,392,56,15,-9,11,11,1.56,90,6733,33.02,42.2,46.9,57.3,36.5
USC00188065,"SAVAGE RIVER DAM, MD US",1959,740,11,4,-4,8,8,3.01,96,6326,33.3,16.4,50.2,61.7,38.7
USC00188065,"SAVAGE RIVER DAM, MD US",1960,425,73,18,-7,17,7.5,2.71,90,6451,34.83,61.9,47.8,58.4,37.2
USC00188065,"SAVAGE RIVER DAM, MD US",1961,535,67,,-8,26,,1.26,93,6674,39.96,,48.7,59.1,38.2
USC00188065,"SAVAGE RIVER DAM, MD US",1962,350,,,-4,,,1.76,92,6186,34.38,,47.6,58.6,36.7
USC00188065,"SAVAGE RIVER DAM, MD US",1963,,,,,,,1.83,,,28.32,,,,
USC00188065,"SAVAGE RIVER DAM, MD US",1964,399,,,-2,,,2.67,93,6517,35.61,,48.2,59.9,36.5
USC00188065,"SAVAGE RIVER DAM, MD US",1965,410,34,,-3,10,,1.79,93,6338,30.22,,48.7,59.7,37.8
USC00188065,"SAVAGE RIVER DAM, MD US",1966,438,39,,-8,24,,1.97,97,6448,30.35,,47.6,58.2,36.9
USC00188065,"SAVAGE RIVER DAM, MD US",1967,332,,,-2,,,2.78,90,6356,37.1,,47.9,58.3,37.5
USC00188065,"SAVAGE RIVER DAM, MD US",1968,495,,,-13,,,2.15,90,6792,28.85,,48.1,58.9,37.3
USC00188065,"SAVAGE RIVER DAM, MD US",1969,505,,,2,,,1.05,93,6510,28.12,,47.9,58.2,37.6
USC00188065,"SAVAGE RIVER DAM, MD US",1970,556,,,-5,,,1.12,88,6697,37.84,,49.4,59.5,39.3
USC00188065,"SAVAGE RIVER DAM, MD US",1971,401,72,,-10,23,,1.6,90,6354,38.77,,48.8,59.1,38.5
USC00188065,"SAVAGE RIVER DAM, MD US",1972,338,41,,-11,12,,2.33,90,6066,44.97,,47.9,57.8,38.1
USC00188065,"SAVAGE RIVER DAM, MD US",1973,464,32,,-16,11,,2.14,94,6234,38.83,,49.7,59.8,39.6
USC00188065,"SAVAGE RIVER DAM, MD US",1974,323,35,7,7,9,8,3,89,5856,39.28,20.2,49.1,59.5,38.7
USC00188065,"SAVAGE RIVER DAM, MD US",1975,,44,16,,10,7,1.61,,,42.52,34.8,,,
USC00188065,"SAVAGE RIVER DAM, MD US",1976,310,60,,-4,8,,2.08,90,5848,35.06,,47.6,58.9,36.4
USC00188065,"SAVAGE RIVER DAM, MD US",1977,546,63,14,-11,15,3,1.63,92,6946,36.46,19,48.7,59,38.5
USC00188065,"SAVAGE RIVER DAM, MD US",1978,475,90,17,-7,28,11,1.69,90,7163,43.91,50,46.9,57.2,36.6
USC00188065,"SAVAGE RIVER DAM, MD US",1979,369,61,,-10,34,,1.59,89,6694,43.19,,47.4,57.3,37.4
USC00188065,"SAVAGE RIVER DAM, MD US",1980,,,,,,,,,6534,,,,,
USC00188065,"SAVAGE RIVER DAM, MD US",1981,352,67,24,-7,6,6,1.36,89,,36.36,32.7,47.4,57.8,36.9
